BARL,DDR_CORP,EQUITY_RESIDENTIAL_PROPERTIES,ERH,INTC,JPY,MED,MS,STAG_INDUSTRIAL_INC,returns,variance,psharpe,invested_amount,final_amount
0.131485730286,0.139880949684,0.108631398504,0.124447132559,0.140799656813,0.0761526253826,0.144297333298,0.0986957330175,0.035609440456,0.153676889479,0.144249549166,1.0653543832,1000000,145443.300735
0.0862437595625,0.0361075930558,0.0246511497276,0.176070418803,0.187425575087,0.163388884555,0.174441631721,0.0621988590577,0.0894721284304,0.15656464336,0.127133404508,1.23149886504,1000000,152277.369199
0.0749181838849,0.0423737877332,0.100164897076,0.102285309941,0.0835380580527,0.163140090705,0.145056636219,0.151005027089,0.137518009299,0.193181411987,0.134335275493,1.43805423615,1000000,158458.967618
0.178637396555,0.180149014549,0.158281522696,0.0145917434902,0.179967107915,0.00817652452988,0.00175683127232,0.111205363294,0.167234495697,0.157016584451,0.165122318409,0.950910730685,1000000,139300.997512
0.155364288104,0.161113431582,0.0407622316143,0.179796546957,0.171081827784,0.168548592259,0.0312964438009,0.0609136837037,0.0311229541956,0.118940727481,0.127026291291,0.936347320486,1000000,138629.107356
0.0251578042249,0.206618207485,0.109755467386,0.132785861197,0.0212473059978,0.0554949644087,0.0899629093473,0.212689657031,0.146287822923,0.216786059108,0.1433787461,1.51198183138,1000000,165663.225035
0.165449311798,0.0308121265308,0.149190545506,0.0495786877908,0.0836324466184,0.148491295123,0.0469866361276,0.172684716128,0.153174234378,0.172626919663,0.153357869833,1.12564761007,1000000,147537.508874
0.0632852643887,0.0150677760385,0.0244190833603,0.195701124044,0.0806382949359,0.189841754575,0.185925454817,0.089247274531,0.15587397331,0.180775015583,0.124919915131,1.44712726864,1000000,159963.213351
0.00916872243148,0.158882789845,0.165308060934,0.169758281553,0.177967105359,0.0192154989224,0.10537519285,0.00144716098568,0.192877187119,0.199265383027,0.141016322993,1.41306608198,1000000,147907.169435
0.133642814756,0.0452018457788,0.0749775239259,0.0910009534009,0.138371978225,0.140413773007,0.14414007795,0.112870797145,0.119380235812,0.162860630322,0.140743938893,1.15714134195,1000000,150878.060378
0.218290430054,0.0598229802694,0.113606911485,0.0982277363677,0.0892074555827,0.141448117569,0.101852136211,0.0800409977867,0.0975032346752,0.133970129874,0.161004266714,0.832090556405,1000000,137877.586338
0.178071952558,0.203615567875,6.6622635783e-05,0.125937318046,0.124692213538,0.150161506617,0.0351464052903,0.0754956598088,0.106812753631,0.122649762927,0.136754344332,0.896861913427,1000000,143522.897707
0.0412164858508,0.0462682014826,0.201903363168,0.0112020099695,0.137930959074,0.16856764329,0.0788548326513,0.0395525874577,0.274503917056,0.213965654967,0.139879367967,1.52964413607,1000000,149334.249377
0.182736533202,0.0309850161748,0.111900247921,0.0756579767012,0.066397190979,0.196601500648,0.176608560846,0.0780184273116,0.0810945462162,0.148344182607,0.154076414613,0.962796174743,1000000,143324.254966
0.129004523997,0.00197792492763,0.0187475097736,0.0377465546368,0.136413676349,0.237270233425,0.176731414308,0.241400937432,0.0207072251511,0.164975573006,0.149718528193,1.10190485437,1000000,162175.479326
0.0846406530088,0.0625571967258,0.113740538766,0.202513248383,0.0106752265641,0.225419466121,0.0717578601559,0.157270721832,0.071425088443,0.178018559253,0.12029784751,1.47981500034,1000000,152682.171351
0.0563074337356,0.036101818391,0.0353100938442,0.197417600946,0.190036718316,0.0973373071739,0.0169794703425,0.0954923494844,0.275017207766,0.185008471208,0.123521437666,1.49778430938,1000000,156635.600836
0.17662578093,0.163245329645,0.219650916796,0.104403789363,0.0673986967108,0.0300727268713,0.0591558035063,0.072899184848,0.10654777133,0.158591223122,0.163583182022,0.969483666732,1000000,134476.87394
0.233658397923,0.00740539837729,0.141843934694,0.0247394773749,0.0944966789175,0.242890552922,0.0839491359469,0.0720091918346,0.0990072320103,0.13166517732,0.16462220223,0.799802065196,1000000,134212.506614
0.0415107738997,0.216320109878,0.0710210158291,0.111062007084,0.0988931349421,0.0638395776369,0.127590997545,0.0568257479946,0.212936635191,0.193279071365,0.132244524459,1.46152796991,1000000,157062.424205
0.118519188492,0.126853273311,0.0781912378409,0.0832957803374,0.0197480018089,0.0684021488126,0.140534403544,0.185199496269,0.179256469585,0.191350469503,0.150539786086,1.271095665,1000000,160957.55553
0.0688833501645,0.105793935988,0.155143514977,0.161530051432,0.0875578443523,0.137711246639,0.0828610253959,0.0770574559585,0.123461575092,0.183076583953,0.12662963394,1.44576414111,1000000,147293.090506
0.174059339006,0.0638133849781,0.0967938381069,0.13236568256,0.0786994926858,0.196327664928,0.117230444025,0.123467415657,0.0172427380527,0.140097993756,0.144277803017,0.971029436455,1000000,143398.871625
0.151323185095,0.0275550897755,0.179738690091,0.147104660281,0.354493065808,0.0276890895379,0.0570514242277,0.0480626317418,0.00698216344172,0.131776766358,0.158887551084,0.829371246891,1000000,129408.332521
0.114120324557,0.166369955355,0.196526493482,0.0745067753382,0.0299521528323,0.0254224201978,0.113380429809,0.222366991164,0.0573544572643,0.19526501719,0.164833458246,1.18462003569,1000000,153282.590921
0.19569711165,0.00421667441339,0.208055961757,0.0917317598185,0.0281750169594,0.0811644129667,0.201988708548,0.184160045409,0.00481030847681,0.167259594206,0.185100173171,0.903616627368,1000000,144726.699857
0.0913504684772,0.132635475055,0.176034543306,0.114057510345,0.0911716508674,0.166661370393,0.0662714996277,0.0877487074158,0.0740687745132,0.173312271521,0.129874562958,1.33445893925,1000000,143246.528157
